tamanho_mb,repeticao,largura_banda_mb_s
1,1,66.33675188756912
1,2,6587.615642293581
1,3,6583.2787982320815
1,4,11185.684548272
1,5,7027.407993226149
1,6,10917.03068738419
1,7,11363.64003312546
1,8,10626.99709827573
1,9,8591.06431695768
1,10,9302.325265481071
1,11,4819.276913327814
1,12,3556.1879246421895
1,13,6397.953973856078
1,14,5998.798549522764
1,15,6896.551811843934
1,16,6297.229741771294
1,17,5878.894261224736
1,18,7587.252604880875
1,19,5509.64056024299
1,20,5252.100989071695
1,21,6377.552175864382
1,22,7057.164363759747
1,23,3746.7216882097537
1,24,5202.91340656838
1,25,5344.736307431075
1,26,5010.019878090532
1,27,3782.148603467319
1,28,7564.298872215211
1,29,4528.985645536951
1,30,5470.459669859384
1,31,3987.2410064170003
1,32,5263.158128470441
1,33,3197.953365741245
1,34,3957.261522847831
1,35,4434.590373922964
4,1,2865.1243186991437
4,2,4621.605939319978
4,3,3700.6199735914165
4,4,2992.891903211961
4,5,4111.41940093794
4,6,4640.909383123088
4,7,2044.5716665908972
4,8,3313.45263023699
4,9,1576.6032122479692
4,10,4757.37393285378
4,11,2389.200811319252
4,12,4222.972996610534
4,13,1366.8671454092973
4,14,4615.739559076644
4,15,5868.545019820154
4,16,5430.3555342160835
4,17,6102.212187396883
4,18,4923.076821502146
4,19,5146.018390416231
4,20,4292.766448301536
4,21,3709.8868392759728
4,22,3395.2974937651943
4,23,4327.5990154259425
4,24,5632.216320716838
4,25,5947.071074271452
4,26,6342.1597946645525
4,27,6374.501940564553
4,28,6871.671432408417
4,29,6180.4693465452965
4,30,6215.040289178838
4,31,6790.018629810839
4,32,5960.36317345266
4,33,6095.702074727738
4,34,6643.414866532759
4,35,6690.081813547791
8,1,5714.285680453996
8,2,5164.9556545496225
8,3,1470.9938332416507
8,4,4837.051926450488
8,5,4607.233333372443
8,6,4390.056467850704
8,7,4666.627737242139
8,8,4584.789919416633
8,9,4825.672600690424
8,10,3495.8923834852217
8,11,5500.172040640594
8,12,5396.654091078969
8,13,4369.913080609645
8,14,5320.564042615782
8,15,4025.157233081632
8,16,4944.681261958177
8,17,4930.358637247679
8,18,4594.004853958736
8,19,4290.924708558949
8,20,4762.471599925776
8,21,3533.100718764224
8,22,3739.540986132956
8,23,5073.566666708503
8,24,5499.037819976599
8,25,5166.2900418061445
8,26,5729.8382168027365
8,27,4602.4622580989
8,28,5298.715162513803
8,29,3416.905114427912
8,30,5463.734562248328
8,31,5591.668378016097
8,32,1291.2597917513933
8,33,5540.166227697326
8,34,4591.3682378859985
8,35,5586.982259529578
16,1,2170.7866355097026
16,2,5926.803951678327
16,3,5272.697318148918
16,4,4774.124294945936
16,5,2812.692269660411
16,6,3030.0734538697675
16,7,4465.780976112325
16,8,5965.4748324297125
16,9,5113.1280179041205
16,10,5854.800999873352
16,11,4601.932825566583
16,12,5884.299863789665
16,13,5866.823145160648
16,14,4956.936680404322
16,15,5362.109954522376
16,16,5773.671992692788
16,17,5756.016881038467
16,18,5856.086618248057
16,19,5114.435566049788
16,20,6051.208365242869
16,21,4823.19959375885
16,22,4564.90723665202
16,23,4043.262933090108
16,24,5133.964413033123
16,25,3860.6312048623427
16,26,5657.508579234167
16,27,5353.3190596027325
16,28,4966.784590946632
16,29,5866.607903615474
16,30,5743.619148345681
16,31,5579.189605254107
16,32,2625.1456057628343
16,33,5758.088254560552
16,34,5820.2983379584675
16,35,3416.3944375733367
32,1,5902.425514115688
32,2,5544.293707242262
32,3,6019.790034002722
32,4,5437.922670500911
32,5,6017.073465287627
32,6,6215.764700489861
32,7,5314.025719554487
32,8,5982.0911294345
32,9,5815.961131530852
32,10,5303.369279889557
32,11,5686.56370788292
32,12,5225.086940944064
32,13,5881.271839512289
32,14,5698.81746240598
32,15,5969.4810118925025
32,16,5967.699794799054
32,17,5794.057440270987
32,18,5948.839996454215
32,19,5946.407999641066
32,20,5543.7174029006865
32,21,5807.938741161739
32,22,4662.751906699741
32,23,5770.756666187411
32,24,5993.744002645222
32,25,5187.058288096012
32,26,4248.031985352833
32,27,5721.335176893331
32,28,4051.556044447565
32,29,4382.841207758746
32,30,4101.564984627743
32,31,4422.944041552048
32,32,3865.4345604810433
32,33,5442.639673096193
32,34,3653.343384144539
32,35,4229.000374640469
64,1,4354.067313723199
64,2,3547.2195984291134
64,3,3841.882519773492
64,4,4589.491494545442
64,5,4472.897043729053
64,6,4384.762941927637
64,7,5196.661143309982
64,8,4825.599807817199
64,9,4170.794025267787
64,10,4754.122714867741
64,11,5082.3903046343285
64,12,5501.401142648197
64,13,4368.153420098443
64,14,4974.96968671945
64,15,4902.411378475015
64,16,4544.5830654530755
64,17,5308.516043213519
64,18,5160.79090875676
64,19,5320.696665326013
64,20,5175.27188600394
64,21,5859.142553722187
64,22,5372.733370750031
64,23,5361.61586975481
64,24,5505.281608554273
64,25,4924.857448612915
64,26,4576.397222982461
64,27,5001.093987524151
64,28,5857.319349921033
64,29,6318.491458883448
64,30,5055.6916028181795
64,31,5252.316353427787
64,32,5724.968932939819
64,33,5601.848594439978
64,34,5674.060690865911
64,35,5962.862544721946
128,1,5777.42470906902
128,2,5963.89051254641
128,3,4796.558470034694
128,4,4616.289006092314
128,5,5428.283055490505
128,6,4676.311562285177
128,7,5430.010129644676
128,8,5517.193817884868
128,9,4699.144615892006
128,10,5585.495169438509
128,11,5782.984464661732
128,12,1338.0961195038756
128,13,5738.8551770793765
128,14,6122.204949771236
128,15,5388.566130904854
128,16,5559.561144544533
128,17,5703.566053940437
128,18,6249.725349791425
128,19,6326.298624702253
128,20,6830.8927062962375
128,21,5984.132695843897
128,22,6872.630813102823
128,23,6948.402685448663
128,24,5134.438037326596
128,25,6286.126817914214
128,26,5857.42658139569
128,27,6151.391511032979
128,28,7011.547138914083
128,29,6128.2137154114625
128,30,4866.901652428873
128,31,5266.297744622757
128,32,6759.290078908083
128,33,6908.350991676071
128,34,6380.571155507591
128,35,6892.949262195322
256,1,7298.687372512879
256,2,5487.697692753973
256,3,6072.523965417339
256,4,5429.227054456428
256,5,6345.6967058114005
256,6,5628.488942175506
256,7,3409.2331622512493
256,8,5143.309477611919
256,9,4822.454557362427
256,10,6394.516710044721
256,11,5861.463393624404
256,12,5374.3575947619765
256,13,6099.275229186164
256,14,6784.314450630398
256,15,6978.0817345176265
256,16,5138.591422958372
256,17,6412.584694000498
256,18,3869.4718334265563
256,19,7286.534427478905
256,20,7136.20677373688
256,21,6059.730961873836
256,22,5160.988572123207
256,23,4942.084946145604
256,24,6200.589056644786
256,25,7863.856967888814
256,26,7001.575353879923
256,27,7190.06199014286
256,28,6887.033818027302
256,29,7050.185755047384
256,30,7262.8028175552345
256,31,7409.680044662074
256,32,6548.034691007764
256,33,7845.300485939159
256,34,6922.660891509699
256,35,6960.077424589059
